name	1700	1701	1702	1703	1704	1705	1706	1707	1708	1709	1710	1712	1714	1716	1717	1718	1719	1720	1721	1722	1723	1724	1725	1726	1727	1729	1730	1731	1732	1733	1734	1735	1736	1737	1738	1739	1740	1741	1742	1743	1744	1745	1746	1747	1748	1749	1750	1751	1752	1753	1754	1755	1756	1757	1758	1759	1760	1761	1762	1763	1764	1765	1766	1767	1768	1769	1770	1771	1772	1773	1774	1775	1776	1777	1778	1779	1780	1782	1783	1786	1787	1788	1789	1790	1791	1793	1794	1795	1796	1797	1798	1799	1800
Sewing 	0	2	6	1	2	5	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	3	0	1	0	0	1	0	1	0	1	0	0	1	2	1	2	0	7	4	1	3	3	0	1	2	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	1	2	2	1	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0
Laundry	0	3	5	2	2	7	4	2	2	2	1	1	0	1	1	2	5	3	0	0	1	0	0	1	3	4	4	3	4	0	0	1	3	0	3	3	2	1	4	3	2	5	3	4	11	5	10	9	10	2	5	4	3	6	10	5	3	8	4	6	8	4	3	15	3	3	7	8	11	11	7	6	4	5	5	6	3	2	0	1	1	1	2	4	2	4	1	2	3	3	1	5	0
Dairy	0	4	2	1	4	1	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	1	2	0	0	0	1	0	0	0	1	0	2	3	0	2	1	0	5	4	4	5	3	1	0	2	3	4	2	0	2	2	0	1	1	0	3	5	3	2	4	2	3	3	4	2	4	2	3	4	2	0	0	0	0	0	1	3	4	0	1	1	1	1	1	5	0
Brew	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HH linens	3	12	8	6	9	11	5	4	3	3	2	2	1	2	1	2	5	4	1	0	2	0	1	1	6	4	6	4	4	2	1	1	3	3	4	2	3	1	4	4	4	6	8	4	19	9	10	13	14	4	8	9	5	15	10	5	6	8	6	6	8	4	5	15	9	6	8	10	12	11	10	7	6	4	5	5	5	3	0	0	0	1	4	2	1	1	3	1	3	2	3	3	2
Textile	1	4	6	2	3	4	1	2	1	2	0	0	0	0	0	2	3	1	0	0	1	0	0	0	2	0	1	3	0	1	0	0	0	0	3	0	0	0	0	1	1	1	0	1	8	3	2	4	3	2	2	1	0	2	3	2	1	1	3	1	1	1	1	1	3	0	2	4	2	4	2	2	3	2	1	0	0	1	0	0	0	0	1	0	0	1	1	0	2	0	2	1	1
Distill	0	2	2	1	2	2	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	1	1	0	0	3	0	1	2	2	3	2	1	1	1	1	1	1	0	3	0	1	0	0	1	1	1	1	0	3	0	2	1	0	1	2	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1
Razor	0	2	3	1	2	4	4	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	3	2	2	0	1	0	1	0	3	0	0	0	2	1	0	1	2	0	6	3	4	2	6	0	4	5	1	3	7	0	0	3	2	2	3	1	0	2	1	1	5	3	2	4	4	1	1	3	0	2	2	0	0	0	2	0	0	2	1	0	3	0	2	1	2	2	0
Hunt War	1	8	5	5	5	8	6	3	1	3	1	2	0	2	1	2	6	3	1	0	0	0	1	0	4	2	5	5	5	1	1	2	3	2	4	3	2	0	2	3	1	5	3	3	14	10	9	12	12	6	8	7	3	10	9	5	3	6	2	8	7	4	2	8	9	4	9	6	10	9	8	2	5	2	5	7	5	1	0	0	2	1	1	3	3	1	4	1	4	3	1	3	0
Men clothes	1	5	2	6	7	7	3	3	2	2	0	2	0	0	1	0	7	3	0	0	2	1	1	1	2	1	4	6	3	1	0	1	3	1	4	1	1	1	3	3	2	0	2	2	10	5	6	6	10	2	5	4	1	7	4	0	0	3	3	1	1	1	0	3	3	0	1	2	5	3	3	2	0	1	2	2	1	2	0	0	0	0	0	0	2	0	1	0	1	0	2	1	0
Women clothes	0	0	3	1	2	2	0	2	0	0	0	0	0	1	0	1	4	1	1	1	1	1	0	0	0	3	0	2	0	0	0	0	0	0	2	0	1	1	0	0	1	1	1	1	3	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0
Either clothes	1	5	4	6	8	8	3	4	2	2	0	2	0	1	1	1	8	3	1	1	2	1	1	1	2	3	4	6	3	1	0	1	3	1	4	1	2	1	3	3	2	1	3	3	11	5	6	7	10	2	5	4	2	8	4	0	1	3	3	1	2	1	0	3	3	0	1	2	5	4	4	2	0	1	3	3	1	2	0	0	0	0	0	0	2	0	1	0	1	0	2	1	0
Both clothes	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	2	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0
Absent	1	3	3	2	3	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	2	3	1	0	1	0	0	2	0	0	0	0	2	0	0	3	1	4	5	3	2	7	1	4	4	3	0	2	1	0	2	1	1	1	1	1	1	5	1	0	2	4	3	3	1	2	1	2	4	3	0	0	0	1	1	1	0	0	2	0	0	0	0	0	1	1
